#{"t_start": 1622874995.046234, "env_id": "AntEnv-v8"}
r,l,t,reward,reward_motion,reward_torque,reward_velocity,reward_contact
-10.939816,20,77.050005,-1.342007257564001,0.0,-0.34558529326342885,-0.4016471043377772,-0.5947748599627949
-15.846024,20,78.353331,-0.8130701068411494,0.0,-0.014123699769112702,-0.1591793150767671,-0.6397670919952696
-28.776275,20,79.659087,-1.3259878660014437,0.0,-0.004084816325141089,-0.9666279341863053,-0.35527511548999724
-23.690395,20,80.958416,-1.4530951936871066,0.0,-0.3451151068644586,-0.6475132377433764,-0.46046684907927155
-9.61767,20,82.251672,-0.8908052967926771,1.0,-0.5215157551751053,-0.700530779544302,-0.6687587620732698
-9.156554,20,83.517476,-0.7884595120814599,0.0,-0.01582121898594732,-0.13145559130460838,-0.6411827017909042
-7.014417,20,84.813127,-1.164073183214121,0.0,-0.3457297619528924,-0.24824640562699704,-0.5700970156342314
-18.524911,20,86.112572,-1.1014958736771228,0.0,-0.01582121898611606,-0.5019312303789802,-0.5837434243120264
-15.329265,20,87.401245,-1.3177977434987351,0.0,-0.01133567114858064,-0.6854290561504635,-0.6210330161996911
-22.862387,20,88.717581,-1.18415924175335,0.0,-0.01717799988003071,-0.6298910828838723,-0.5370901589894469
-22.533875,20,90.022959,-1.3300753164445178,0.0,-0.011392306072775738,-0.7263070815742948,-0.5923759287974473
-15.130777,20,91.320785,-0.6745110012405704,0.0,-0.019110153894515418,-0.3299818173019266,-0.32541903004412837
-26.429535,20,92.643741,-1.3268235184105248,0.0,-0.01582121898834567,-0.7799888510182608,-0.5310134484039183
-18.838401,20,93.9526,-0.6377455211393667,1.0,-0.21190828818857552,-0.749128353025033,-0.6767088799257581
-28.591876,20,95.294202,-1.5410182705880984,0.0,-0.014123421243564156,-0.9201800828563402,-0.6067147664881939
-20.283201,20,96.598294,-1.0897597737840963,0.0,-0.015821218986657865,-0.5013370467117056,-0.5726015080857327
-11.269438,20,97.896715,-0.40000788210379734,1.0,-0.21435674444527217,-0.5054978402882437,-0.6801532973702814
-9.648948,20,99.200844,-0.6327548991999699,0.0,-0.017216257427352135,-0.11851930995534804,-0.49701933181726965
-12.560923,20,100.517999,-0.6881427421583074,0.0,-0.009397639743480598,-0.0881103989934001,-0.5906347034214267
-6.002798,20,101.797241,-0.33199195025874995,1.0,-0.17901016156755234,-0.7100351434757093,-0.4429466452154883
-8.214912,20,103.104258,-0.8297942374646563,0.0,-0.017215870758072835,-0.3036785197056035,-0.5088998470009799
-18.699774,20,104.406801,-1.016308948644061,1.0,-0.8220758539954327,-1.1059930751647997,-0.08824001948382873
-26.405671,20,105.708262,-1.501219111814126,0.0,-0.0279278332488842,-0.9743309682396396,-0.4989603103256022
-22.360668,20,107.024745,-1.3264278256123534,0.0,-0.015795322600574424,-0.5599771513199852,-0.7506553516917936
-17.082066,20,108.354083,-0.6495128094325021,1.0,-0.7276196623603112,-0.5083573595282797,-0.4135357875439113
-17.4863,20,109.668473,-1.2696398051341342,0.0,-0.011334556757140547,-0.6204114412416541,-0.6378938071353394
-11.152226,20,110.995494,-0.527639779539513,0.0,-0.0034906077739568415,-0.08302645499457277,-0.4411227167709834
-26.568993,20,112.30754,-1.472796331793158,0.0,-0.015821218988345532,-0.810900180710241,-0.6460749320945715
-16.61816,20,113.625175,-0.8233226075665652,0.0,-0.023201111170265704,-0.439925854405674,-0.3601956419906255
-15.475853,20,114.950572,-0.9335625884545868,0.0,-0.014451999572161348,-0.3411962899639635,-0.577914298918462
-15.398502,20,116.308149,-0.9306940772032776,0.0,-0.009397636959953246,-0.3301191265556834,-0.5911773136876409
-22.38226,20,117.641093,-1.2007679790327537,0.0,-0.014123699769230107,-0.6184176562812769,-0.5682266229822467
-29.075476,20,118.967581,-1.549988003097166,0.0,-0.01567510066761493,-0.9842798642649593,-0.5500330381645918
-15.767029,20,120.289508,-0.813025458717052,0.0,-0.016108617198608954,-0.23993303266504193,-0.5569838088534012
-21.132672,20,121.572424,-1.3018217094445665,0.0,-0.017361922883258506,-0.7631985716257524,-0.5212612149355557
-22.676484,20,122.871565,-1.1450222524935545,0.0,-0.0072207473924306865,-0.6412394444872667,-0.496562060613857
-22.860936,20,124.160448,-1.2951898797881745,0.0,-0.02124972185775655,-0.7428302002134576,-0.5311099577169605
-22.552979,20,125.455023,-1.2546711847161633,0.0,-0.011334556757140494,-0.6099507767131754,-0.6333858512458473
-14.307865,20,126.743399,-0.9813892895250033,0.0,-0.014123699769208756,-0.3057114795062707,-0.6615541102495238
-28.135112,20,128.030314,-1.3087781593071364,0.0,-0.013784841500578404,-0.8627280500327287,-0.43226526777382923
-12.00139,20,129.329063,-0.8237497299955636,0.0,-0.009397639697121285,-0.21025911109240494,-0.6040929792060373
-22.883205,20,130.629042,-1.2754169573294707,0.0,-0.017274224554244134,-0.7258648062486658,-0.5322779265265607
-28.021111,20,131.934741,-1.311860313161398,0.0,-0.0015853222865203354,-0.906186279006607,-0.40408871186827067
-29.259721,20,133.261057,-1.6211835949375093,0.0,-0.009397639743924668,-0.9886417846703062,-0.6231441705232784
-10.26674,20,134.55482,-0.7796015342802451,0.0,-0.015963221120551395,-0.10730869136758694,-0.6563296217921067
-17.924734,20,135.84832,-0.9630421823033399,0.0,-0.015217865344437132,-0.41046178879100975,-0.5373625281678931
-15.967532,20,137.207027,-0.8021124923040319,0.0,-0.017750241479341098,-0.2636888324562167,-0.5206734183684741
-18.831006,20,138.495146,-0.6173229780621319,1.0,-0.5098747540089275,-0.8674482240532044,-0.24000000000000002
-22.035908,20,139.822269,-1.250321475011111,0.0,-0.009397639743480592,-0.6187313660897111,-0.6221924691779191
-8.647424,20,141.135624,-0.9129201538621038,0.0,-0.014123699768971737,-0.30425325934279784,-0.5945431947503342
-5.849809,20,142.445124,-0.6736474216455226,0.0,-0.012395269336728115,-0.31148401491485583,-0.34976813739393864
-10.922794,20,143.712492,-0.45019320734919877,0.0,-0.010141845743621097,-0.1710921205870467,-0.26895924101853097
-6.500656,20,145.020893,-0.7494068732744151,0.0,-0.01398135495269952,-0.10936532509034012,-0.6260601932313755
-16.861852,20,146.346882,-0.8432873569879127,0.0,-0.0015853222865211873,-0.44399816750123616,-0.3977038672001553
-19.908657,20,147.675534,-1.0869829571931893,0.0,-0.021904019344270727,-0.6296680106246434,-0.4354109272242751
-19.410213,20,148.906405,-0.9941751556515876,0.0,-0.0047202304302938255,-0.5864874914717468,-0.4029674337495471
-17.756766,20,150.245337,-0.9376761854033644,0.0,-0.015821211209979185,-0.36122891214077113,-0.560626062052614
-27.951581,20,151.556674,-1.301021280824315,0.0,-0.021213266968234338,-0.9196096961353981,-0.3601983177206825
-18.726678,20,152.899478,-1.0219485222362752,0.0,-0.009927139568556174,-0.38175993310753875,-0.6302614495601802
-28.451744,20,154.220607,-1.4031089880226666,0.0,-0.022837985772706893,-0.8781320368111863,-0.5021389654387733
